Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.000986417037198788,0.000268049028294054,0.0773798470852122,0,0,0,0.110373495507463,0.000264402778830212,4.59263483005334E-07,1.32798258678817E-06,0.000159680177760236,-4.78660406501498E-06,0.000118075546031988,0,0,0,0,0,0,meshes/hand_base_link.STL,1,1,1,1,0,0,0,0,0,0,meshes/hand_base_link.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-前壳A-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-前壳硅胶A-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-后壳A-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手掌部分-1/MirrorL20-V10.0-手腕法兰-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/MirrorL25-V1.0-A014-安装基板-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-12-1/MirrorL25-V1.0-A014-安装基板-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-11-1/MirrorL25-V1.0-A014-安装基板-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-1-1/MirrorL25-V1.0-A014-安装基板-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-后盖A-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-后盖硅胶A2-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorL25-V1.0外壳-1/MirrorL25-V1.0-后盖硅胶A1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpals_base1,0.0115155126192006,0.00398068846976699,0.000272888250745694,0,0,0,0.0160351802817401,4.043875385429E-06,1.31113365770736E-07,-7.54220071752833E-09,2.42762975209742E-06,-1.4815076502312E-07,2.08582778122043E-06,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/MirrorL20-V10.0-拇指旋转外壳-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/MirrorL20-D-004-侧摆舵机固定座-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/Mirror滚珠轴承（7x3x3）-2;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/Mirror滚珠轴承（7x3x3）-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/Mirrorl20老版-舵机3606-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/Mirror拇指组件舵机版_工业版-1/MirrorL20-D-001-舵机输出齿轮-1,坐标系1,基准轴1,thumb_cmc_roll,revolute,0.01916,-0.01,0.0436,0,0,0,hand_base_link,-1,0,0,100,1,0,1.4,,,,,,,,
thumb_metacarpals_base2,0.00286714610220221,-0.0061572653424441,0.00472605265322379,0,0,0,0.00183264554882498,2.10633266517815E-07,-4.9133152227129E-08,-1.35746007921721E-08,9.83742137915545E-08,4.75450167610941E-08,1.80097560989649E-07,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/MirrorYS大拇指--总装-1/MirrorL20-D-009-齿轮档片-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/L20-NS拇指跟关节（左）-1,坐标系2,基准轴2,thumb_cmc_yaw,revolute,0.019845,0,0,0.77165,0,0,thumb_metacarpals_base1,0,0,1,100,1,0,1.57,,,,,,,,
thumb_metacarpals,0.00670657874489922,8.60758971228653E-05,0.0331412930049483,0,0,0,0.0287160359417969,1.13355944686632E-05,-1.18725063259997E-08,5.09011416528365E-08,1.3528651001113E-05,2.41236037965108E-08,3.37809997040935E-06,0,0,0,0,0,0,meshes/thumb_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_metacarpals.STL,,L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-V10.0-NS-大拇指外壳A-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-NS-大拇指壳胶皮-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-V10.0-NS-大拇指外壳B-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-1-1/电机2.sldasm-Part-8-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-1/电机2.sldasm-Part-10-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-拇指第三节三角架1-1,坐标系3,基准轴3,thumb_cmc_pitch,revolute,0.0088218,-0.024245,0.0005,0,-1.0647,1.9199,thumb_metacarpals_base2,0,-1,0,100,1,0,0.84,,,,,,,,
thumb_proximal,-0.00268734410969529,0.000568244522388137,0.0118501723044777,0,0,0,0.00549015507433734,4.78372237673962E-07,4.56375652569348E-11,5.41461160604729E-08,6.23208954846975E-07,5.1129105291147E-09,2.34934736039565E-07,0,0,0,0,0,0,meshes/thumb_proximal.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_proximal.STL,,L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-04-拇指第二指节1-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指第二节胶皮-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-05-拇指第二指节2-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-07-拇指第三指节三角架2-1,坐标系4,基准轴4,thumb_mcp,revolute,0.0127018248047608,0,0.0627256157349894,0,0,0,thumb_metacarpals,0,-1,0,100,1,0,1.26,,,,,,,,
thumb_distal,-0.000710021799050622,-0.00267575921172081,0.0124762660846746,0,0,0,0.00382046638843239,2.12120816159448E-07,-2.9588372102787E-09,-7.35950751454791E-08,2.67878295781821E-07,6.04616706384983E-09,1.24571609570411E-07,0,0,0,0,0,0,meshes/thumb_distal.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_distal.STL,,L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖外壳2-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖胶皮-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖外壳1-1;L25出urdf三维模型（右手）(2)-1/L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-01-拇指指尖-1,坐标系5,基准轴5,thumb_ip,revolute,-0.00483652209209624,0,0.0342226492098615,0,0,0,thumb_proximal,0,1,0,100,1,0,1.29,,,,,,,,
index_metacarpals,-0.00794299653637993,-2.93673969475883E-07,0.00220106027330236,0,0,0,0.000895516429792169,3.46279728013563E-08,-3.91962517308058E-13,5.91029152662012E-09,2.85435471088518E-08,-5.30377507775974E-13,4.38102133125935E-08,0,0,0,0,0,0,meshes/index_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_metacarpals.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/MirrorL20-V10.0-四指根连接-1,坐标系6,基准轴6,index_mcp_roll,revolute,0.0038,-0.03525,0.1481,0,0,0,hand_base_link,1,0,0,100,1,-0.23,0.23,,,,,,,,
index_proximal,-0.00114185484694667,3.47315751996757E-05,0.0228928405204552,0,0,0,0.00450921353606138,6.66673080974796E-07,-1.07185172336921E-11,-2.53143396223457E-08,6.74195867168963E-07,-1.59054321114837E-10,1.3575909170439E-07,0,0,0,0,0,0,meshes/index_proximal.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_proximal.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror四指第3节3-1/MirrorL25-V1.0-A005-四指第三指节1-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror四指第3节3-1/MirrorL25-V1.0-A006-四指第三指节2-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror四指第3节3-1/MirrorL20-V10.0-四指第三节胶皮-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror四指第3节3-1/MirrorL20-V10.0-四指第三节外壳-1,坐标系7,基准轴7,index_mcp_pitch,revolute,-0.0021302,0,0,0,0,0,index_metacarpals,0,1,0,100,1,0,1.22,,,,,,,,
index_middle,-0.000206991936024691,2.60617060293677E-06,0.0167065328961797,0,0,0,0.00237827499847615,2.2953872847051E-07,2.23609392315326E-12,-1.4734008024399E-08,1.76761332719485E-07,1.15917246584962E-11,9.62798051827835E-08,0,0,0,0,0,0,meshes/index_middle.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_middle.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/MirrorCopy of Copy of 装配体1_手指组件-13-1/MirrorL25-V1.0-A002-四指第二节-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/MirrorCopy of Copy of 装配体1_手指组件-13-1/MirrorL20-V10.0-四指第二节胶皮-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/MirrorCopy of Copy of 装配体1_手指组件-13-1/MirrorL20-V10.0-四指第二节外壳-1,坐标系8,基准轴8,index_pip,revolute,-0.0041946,0,0.044819,0,0,0,index_proximal,0,1,0,100,1,0,1.74,,,,,,,,
index_distal,-0.00816246517948334,2.27058913663258E-05,0.00811806505013066,0,0,0,0.00334170259772608,1.59570744991572E-07,1.51458653099843E-10,-5.9429168549018E-08,1.78095631426193E-07,-1.24842727205631E-10,1.34141383450165E-07,0,0,0,0,0,0,meshes/index_distal.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_distal.STL,,MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror装配体7_手指组件-13-1/MirrorL20-V10.0-四指指尖外壳-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror装配体7_手指组件-13-1/MirrorL20-V10.0-四指指尖胶皮-1;MirrorL25出urdf三维模型（右手）(2)-1/MirrorL25三维模型总装（urdf版）-1/Mirror手掌组件-1/Mirror手指组件-13-1/Mirror装配体7_手指组件-13-1/MirrorL25-V1.0-A001-四指指尖-1,坐标系9,基准轴9,index_dip,revolute,0.0028245,0,0.031696,0,0,0,index_middle,0,1,0,100,1,0,1.55,,,,,,,,
