Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hand_base_link,-0.0023553326597099,-0.000476950676809626,0.0840274681191193,0,0,0,0.130043890829375,0.000269869493590648,-5.66836728555976E-07,1.0791938448155E-06,0.000164906210534713,4.94586055862009E-06,0.000118834524369526,0,0,0,0,0,0,meshes/hand_base_link.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,meshes/hand_base_link.STL,,L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-前壳A-1;L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-后壳A-1;L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-后盖A-1;L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-后盖硅胶A2-1;L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-后盖硅胶A1-1;L25三维模型总装（urdf版）-1/L25-V1.0外壳-1/L25-V1.0-前壳硅胶A-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-3/L25-V1.0-A014-安装基板-2;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-1/L25-V1.0-A014-安装基板-2;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/L25-V1.0-A014-安装基板-2;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-2/L25-V1.0-A014-安装基板-2;L25三维模型总装（urdf版）-1/手掌组件-1/手掌部分-1/L20-V10.0-手腕法兰-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpals_base1,0.0121300685642492,-0.00368626401900367,0.000253013805235423,0,0,0,0.0173128324517923,4.04974890264239E-06,-1.31074266242452E-07,-7.53905165403527E-09,2.43513754798381E-06,1.46366596393199E-07,2.09347392894973E-06,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,0.749019607843137,0,0,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base1.STL,,L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/L20-V10.0-拇指旋转外壳-2;L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/L20-D-004-侧摆舵机固定座-2;L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/l20老版-舵机3606-1;L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/L20-D-001-舵机输出齿轮-1;L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/滚珠轴承（7x3x3）-2;L25三维模型总装（urdf版）-1/YS大拇指--总装-1/拇指组件舵机版_工业版-1/滚珠轴承（7x3x3）-1,坐标系2,基准轴1,thumb_cmc_roll,revolute,0.01916,0.01,0.0436,0,0,0,hand_base_link,-1,0,0,1,100,0,1.39,,,,,,,,
thumb_metacarpals_base2,0.00274804892423072,0.00768600825377847,0.00362008971119372,0,0,0,0.0129293097380942,1.69966138188785E-06,3.5029507180292E-07,-1.32342776895603E-07,7.14783352238004E-07,-3.69293599975358E-07,1.38951684398117E-06,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,0.749019607843137,0,0,1,0,0,0,0,0,0,meshes/thumb_metacarpals_base2.STL,,L25三维模型总装（urdf版）-1/YS大拇指--总装-1/L20-D-009-齿轮档片-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/L20-NS拇指跟关节-1,坐标系3,基准轴2,thumb_cmc_yaw,revolute,0.019845,0,0,-0.77165,0,0,thumb_metacarpals_base1,0,0,1,1,100,0,1.57,,,,,,,,
thumb_metacarpals,0.00680467489235993,-0.000348945978923473,0.0329029974283304,0,0,0,0.0311449727019751,1.14965619264847E-05,-1.14093661337383E-08,5.08562599330683E-08,1.37913772817647E-05,2.39355105126118E-08,3.56917509196916E-06,0,0,0,0,0,0,meshes/thumb_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,meshes/thumb_metacarpals.STL,,L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-V10.0-NS-大拇指外壳B-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-NS-大拇指壳胶皮-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/L20-V10.0-NS-大拇指外壳A-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-1/电机2.sldasm-Part-10-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-2/电机2.sldasm-Part-8-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-1/电机2.sldasm-Part-12-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/大拇指-诺士电缸251025-1/26.3x11x39-10mm电缸-1/电机2.sldasm-Part-9-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-拇指第三节三角架1-1,坐标系4,基准轴3,thumb_cmc_pitch,revolute,0.0088264,0.024243,0.0005,0,-1.0647,-1.9199,thumb_metacarpals_base2,0,1,0,1,100,0,0.83,,,,,,,,
thumb_proximal,-0.00268743345276515,0.000568290980153867,0.0118503606835096,0,0,0,0.00549015851204037,4.78349857032437E-07,4.61712014179472E-11,5.4113877466635E-08,6.23171205283375E-07,5.11556682719536E-09,2.34919130274949E-07,0,0,0,0,0,0,meshes/thumb_proximal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,meshes/thumb_proximal.STL,,L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-07-拇指第三指节三角架2-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-05-拇指第二指节2-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-04-拇指第二指节1-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指第二节胶皮-1,坐标系5,基准轴4,thumb_mcp,revolute,0.012702,0,0.062726,0,0,0,thumb_metacarpals,0,-1,0,1,100,0,1.25,,,,,,,,
thumb_distal,-0.000650482106033023,2.41300573138245E-05,0.0111942838051236,0,0,0,0.00585464206993151,3.37157269656711E-07,3.69307135027908E-10,-1.12308316041907E-07,4.37703462647265E-07,-9.3624675389561E-10,1.85639673847353E-07,0,0,0,0,0,0,meshes/thumb_distal.STL,0.996078431372549,1,0.317647058823529,1,0,0,0,0,0,0,meshes/thumb_distal.STL,,L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖外壳1-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖胶皮-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-V10.0-拇指指尖外壳2-1;L25三维模型总装（urdf版）-1/NS大拇指--总装-1/诺士大拇指-1/L20-M-01-拇指指尖-1,坐标系6,基准轴5,thumb_ip,revolute,-0.0048365,0,0.034223,0,0,0,thumb_proximal,0,1,0,1,100,0,1.29,,,,,,,,
index_metacarpals,-0.00794297216778595,3.01910607593964E-07,0.00220112291424343,0,0,0,0.000895533942236676,3.46286808249453E-08,5.20721113539202E-13,5.91055676999344E-09,2.85439868980493E-08,6.15915602928681E-13,4.38105935701441E-08,0,0,0,0,0,0,meshes/index_metacarpals.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_metacarpals.STL,,L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/L20-V10.0-四指根连接-1,坐标系7,基准轴6,index_mcp_roll,revolute,0.0038,0.03525,0.1481,0,0,0,hand_base_link,1,0,0,1,100,-0.23,0.23,,,,,,,,
index_proximal,-0.00114165889805229,-3.47779025311364E-05,0.0228930740987338,0,0,0,0.00450935628154297,6.66693338335738E-07,1.00781853152623E-11,-2.53156876802064E-08,6.74214594716538E-07,1.59197443844205E-10,1.3576088799113E-07,0,0,0,0,0,0,meshes/index_proximal.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_proximal.STL,,L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/四指第3节-1/L25-V1.0-A005-四指第三指节1-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/四指第3节-1/L25-V1.0-A006-四指第三指节2-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/四指第3节-1/L20-V10.0-四指第三节胶皮-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/四指第3节-1/L20-V10.0-四指第三节外壳-1,坐标系8,基准轴7,index_mcp_pitch,revolute,-0.0021302,0,0,0,0,0,index_metacarpals,0,1,0,1,100,0,1.22,,,,,,,,
index_middle,-0.000206830314670474,-2.69762827288106E-06,0.0167055565294545,0,0,0,0.00237861824163327,2.29584431475404E-07,-3.79527882007371E-12,-1.47269516053005E-08,1.76802239049368E-07,3.59871792473524E-13,9.62875380319572E-08,0,0,0,0,0,0,meshes/index_middle.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_middle.STL,,L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/Copy of Copy of 装配体1^手指组件-1-1/L20-V10.0-四指第二节外壳-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/Copy of Copy of 装配体1^手指组件-1-1/L25-V1.0-A002-四指第二节-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/Copy of Copy of 装配体1^手指组件-1-1/L20-V10.0-四指第二节胶皮-1,坐标系9,基准轴8,index_pip,revolute,-0.0041946,0,0.044819,0,0,0,index_proximal,0,-1,0,1,100,0,1.75,,,,,,,,
index_distal,-0.00816260402461631,-2.26721604493323E-05,0.00811819722869647,0,0,0,0.00334176238570705,1.59568900399119E-07,-1.52271643281661E-10,-5.94266141046017E-08,1.78096631602274E-07,1.23981970768957E-10,1.34139906914153E-07,0,0,0,0,0,0,meshes/index_distal.STL,1,1,1,1,0,0,0,0,0,0,meshes/index_distal.STL,,L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/装配体7^手指组件-1-1/L20-V10.0-四指指尖外壳-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/装配体7^手指组件-1-1/L20-V10.0-四指指尖胶皮-1;L25三维模型总装（urdf版）-1/手掌组件-1/手指组件-1-4/装配体7^手指组件-1-1/L25-V1.0-A001-四指指尖-1,坐标系10,基准轴9,index_dip,revolute,0.0028245,0,0.031696,0,0,0,index_middle,0,1,0,1,100,0,1.55,,,,,,,,
