epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786948889.892234121	33	0	258	41	0	20
1786948890.016038262	33	0	258	41	0	20
1786948890.139297615	33	0	258	41	0	20
1786948890.263068815	33	0	258	41	0	20
1786948890.395312156	33	0	258	41	0	20
1786948890.522798270	33	0	258	41	0	20
1786948890.646100748	33	0	258	41	0	20
1786948890.774066632	33	0	258	41	0	20
1786948890.897123762	33	0	258	41	0	20
1786948891.020588371	33	0	258	41	0	20
1786948891.147187113	33	0	258	41	0	20
1786948891.270114080	33	0	258	41	0	20
1786948891.393762181	33	0	258	41	0	20
1786948891.516972132	33	0	258	41	0	20
1786948891.643549218	33	0	258	41	0	20
1786948891.774847097	33	0	258	41	0	20
1786948891.905922408	33	0	258	41	0	20
1786948892.037667171	33	0	258	41	0	20
1786948892.168970572	33	0	258	41	0	20
1786948892.295691667	33	0	258	41	0	20
1786948892.422437043	33	0	258	41	0	20
1786948892.546262293	33	0	258	41	0	20
1786948892.674813851	33	0	258	41	0	20
1786948892.798944840	33	0	258	41	0	20
1786948892.921569848	33	0	258	41	0	20
1786948893.045548535	33	0	258	41	0	20
1786948893.172040615	33	0	258	41	0	20
1786948893.295440672	33	0	258	41	0	20
1786948893.418055835	33	0	258	41	0	20
1786948893.541587531	33	0	258	41	0	20
1786948893.665215900	33	0	258	41	0	20
1786948893.787485802	33	0	258	41	0	20
1786948893.910380821	33	0	258	41	0	20
1786948894.033192260	33	0	258	41	0	20
1786948894.161133549	33	0	258	41	0	20
1786948894.283757916	33	0	258	41	0	20
1786948894.407248097	33	0	258	41	0	20
1786948894.530757966	33	0	258	41	0	20
1786948894.656470698	33	0	258	41	0	20
1786948894.779408820	33	0	258	41	0	20
1786948894.909927095	33	0	258	41	0	20
1786948895.037258413	33	0	258	41	0	20
1786948895.160237839	33	0	258	41	0	20
1786948895.283302462	33	0	258	41	0	20
1786948895.406316302	33	0	258	41	0	20
1786948895.533796440	33	0	258	41	0	20
1786948895.657736422	33	0	258	41	0	20
1786948895.780993139	33	0	258	41	0	20
1786948895.913449160	33	0	258	41	0	20
1786948896.040971573	33	0	258	41	0	20
1786948896.164130105	33	0	258	41	0	20
1786948896.291743213	33	0	258	41	0	20
1786948896.416930992	33	0	258	41	0	20
1786948896.540116197	33	0	258	41	0	20
1786948896.663786615	33	0	258	41	0	20
1786948896.790373697	33	0	258	41	0	20
1786948896.917598937	33	0	258	41	0	20
1786948897.042291817	33	0	258	41	0	20
1786948897.165794079	33	0	258	41	0	20
1786948897.296922125	33	0	258	41	0	20
1786948897.424398267	33	0	258	41	0	20
1786948897.551063162	33	0	258	41	0	20
1786948897.681285200	33	0	258	41	0	20
1786948897.805183025	33	0	258	41	0	20
1786948897.928472419	33	0	258	41	0	20
1786948898.052231898	33	0	258	41	0	20
1786948898.175542987	33	0	258	41	0	20
1786948898.298777609	33	0	258	41	0	20
1786948898.421901221	33	0	258	41	0	20
1786948898.545452742	33	0	258	41	0	20
1786948898.676256548	33	0	258	41	0	20
1786948898.799564564	33	0	258	41	0	20
1786948898.922131071	33	0	258	41	0	20
1786948899.046204599	33	0	258	41	0	20
1786948899.177789466	33	0	258	41	0	20
