epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786948077.241028882	33	0	258	41	0	20
1786948077.366062090	33	0	258	41	0	20
1786948077.488901258	33	0	258	41	0	20
1786948077.610872855	33	0	258	41	0	20
1786948077.733052826	33	0	258	41	0	20
1786948077.854892603	33	0	258	41	0	20
1786948077.976581365	33	0	258	41	0	20
1786948078.098758045	33	0	258	41	0	20
1786948078.220196403	33	0	258	41	0	20
1786948078.342825873	33	0	258	41	0	20
1786948078.463823369	33	0	258	41	0	20
1786948078.585214696	33	0	258	41	0	20
1786948078.707958228	33	0	258	41	0	20
1786948078.829793556	33	0	258	41	0	20
1786948078.951090951	33	0	258	41	0	20
1786948079.072779383	33	0	258	41	0	20
1786948079.195530830	33	0	258	41	0	20
1786948079.319710355	33	0	258	41	0	20
1786948079.443089779	33	0	258	41	0	20
1786948079.566341183	33	0	258	41	0	20
1786948079.690289003	33	0	258	41	0	20
1786948079.814006376	33	0	258	41	0	20
1786948079.938061823	33	0	258	41	0	20
1786948080.062265850	33	0	258	41	0	20
1786948080.186047282	33	0	258	41	0	20
1786948080.309431660	33	0	258	41	0	20
1786948080.432651134	33	0	258	41	0	20
1786948080.556561529	33	0	258	41	0	20
1786948080.680590265	33	0	258	41	0	20
1786948080.804565714	33	0	258	41	0	20
1786948080.928968161	33	0	258	41	0	20
1786948081.052255080	33	0	258	41	0	20
1786948081.175936199	33	0	258	41	0	20
1786948081.298810759	33	0	258	41	0	20
1786948081.422629896	33	0	258	41	0	20
1786948081.546646669	33	0	258	41	0	20
1786948081.670056611	33	0	258	41	0	20
1786948081.793510383	33	0	258	41	0	20
1786948081.917298218	33	0	258	41	0	20
1786948082.041038204	33	0	258	41	0	20
1786948082.164420617	33	0	258	41	0	20
1786948082.288862318	33	0	258	41	0	20
1786948082.412406165	33	0	258	41	0	20
1786948082.535997539	33	0	258	41	0	20
1786948082.659279090	33	0	258	41	0	20
1786948082.783353243	33	0	258	41	0	20
1786948082.907460286	33	0	258	41	0	20
1786948083.031210967	33	0	258	41	0	20
1786948083.154633314	33	0	258	41	0	20
1786948083.278542906	33	0	258	41	0	20
1786948083.402094672	33	0	258	41	0	20
1786948083.525365003	33	0	258	41	0	20
1786948083.649476942	33	0	258	41	0	20
1786948083.773394219	33	0	258	41	0	20
1786948083.897104522	33	0	258	41	0	20
1786948084.020583993	33	0	258	41	0	20
1786948084.144346503	33	0	258	41	0	20
1786948084.267605207	33	0	258	41	0	20
1786948084.391315625	33	0	258	41	0	20
1786948084.515309458	33	0	258	41	0	20
1786948084.640670034	33	0	258	41	0	20
1786948084.765131408	33	0	258	41	0	20
1786948084.888969732	33	0	258	41	0	20
1786948085.013221328	33	0	258	41	0	20
1786948085.136841280	33	0	258	41	0	20
1786948085.260351754	33	0	258	41	0	20
1786948085.382647550	33	0	258	41	0	20
1786948085.505581190	33	0	258	41	0	20
1786948085.628550686	33	0	258	41	0	20
1786948085.751552729	33	0	258	41	0	20
1786948085.874445092	33	0	258	41	0	20
1786948085.997347704	33	0	258	41	0	20
1786948086.120100290	33	0	258	41	0	20
1786948086.243181589	33	0	258	41	0	20
1786948086.366186205	33	0	258	41	0	20
1786948086.488969310	33	0	258	41	0	20
1786948086.611368373	33	0	258	41	0	20
1786948086.733448221	33	0	258	41	0	20
1786948086.855696424	33	0	258	41	0	20
1786948086.981334195	33	0	258	41	0	20
1786948087.103483029	33	0	258	41	0	20
1786948087.229013407	33	0	258	41	0	20
1786948087.351104182	33	0	258	41	0	20
1786948087.477405134	33	0	258	41	0	20
1786948087.598329236	33	0	258	41	0	20
1786948087.719260779	33	0	258	41	0	20
1786948087.844264399	33	0	258	41	0	20
1786948087.969656382	33	0	258	41	0	20
1786948088.095361567	33	0	258	41	0	20
1786948088.215959480	33	0	258	41	0	20
1786948088.337090078	33	0	258	41	0	20
1786948088.457992839	33	0	258	41	0	20
1786948088.586910134	33	0	258	41	0	20
1786948088.715364846	33	0	258	41	0	20
1786948088.845036514	33	0	258	41	0	20
1786948088.973104254	33	0	258	41	0	20
1786948089.094006438	33	0	258	41	0	20
1786948089.222839603	33	0	258	41	0	20
1786948089.347773233	33	0	258	41	0	20
1786948089.473044316	33	0	258	41	0	20
1786948089.598202114	33	0	258	41	0	20
1786948089.719469789	33	0	258	41	0	20
1786948089.847596026	33	0	258	41	0	20
1786948089.971989863	33	0	258	41	0	20
1786948090.093103555	33	0	258	41	0	20
1786948090.219011305	33	0	258	41	0	20
1786948090.346701927	33	0	258	41	0	20
1786948090.467999844	33	0	258	41	0	20
