epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786949067.960553945	33	0	258	41	0	20
1786949068.191300342	33	0	258	41	0	20
1786949068.418050877	33	0	258	41	0	20
1786949068.653126051	33	0	258	41	0	20
1786949068.884442094	33	0	258	41	0	20
1786949069.108096592	33	0	258	41	0	20
1786949069.334902303	33	0	258	41	0	20
1786949069.558369327	33	0	258	41	0	20
1786949069.781027141	33	0	258	41	0	20
1786949070.005212799	33	0	258	41	0	20
1786949070.228186104	33	0	258	41	0	20
1786949070.451641842	33	0	258	41	0	20
1786949070.674988879	33	0	258	41	0	20
1786949070.897895700	33	0	258	41	0	20
1786949071.128483484	33	2304	258	41	0	20
1786949071.358249476	33	0	258	41	0	20
1786949071.588548984	33	0	258	41	0	20
1786949071.811879105	33	0	258	41	0	20
1786949072.038183809	33	0	258	41	0	20
1786949072.260819742	33	0	258	41	0	20
1786949072.483932421	33	0	258	41	0	20
1786949072.709518898	33	0	258	41	0	20
1786949072.932758048	33	0	258	41	0	20
1786949073.155617200	33	0	258	41	0	20
1786949073.378303076	33	0	258	41	0	20
1786949073.600580306	33	0	258	41	0	20
1786949073.823418020	33	0	258	41	0	20
1786949074.054015774	33	0	258	41	0	20
1786949074.280701608	33	0	258	41	0	20
1786949074.511391088	33	0	258	41	0	20
1786949074.742310498	33	0	258	41	0	20
1786949074.969739440	33	0	258	41	0	20
1786949075.192282562	33	0	258	41	0	20
1786949075.415338960	33	0	258	41	0	20
1786949075.639948122	33	0	258	41	0	20
1786949075.867295094	33	0	258	41	0	20
1786949076.090602531	33	0	258	41	0	20
1786949076.315949089	33	0	258	41	0	20
1786949076.538493448	33	0	258	41	0	20
1786949076.762323101	33	0	258	41	0	20
1786949076.985572323	33	0	258	41	0	20
1786949077.215647511	33	0	258	41	0	20
1786949077.438801138	33	0	258	41	0	20
1786949077.661973242	33	0	258	41	0	20
1786949077.888423699	33	0	258	41	0	20
1786949078.114751271	33	0	258	41	0	20
1786949078.345470630	33	0	258	41	0	20
1786949078.572397917	33	0	258	41	0	20
1786949078.794830571	33	0	258	41	0	20
1786949079.018067353	33	0	258	41	0	20
1786949079.240860762	33	0	258	41	0	20
1786949079.472107169	33	0	258	41	0	20
1786949079.703461196	33	0	258	41	0	20
1786949079.938406663	33	0	258	41	0	20
1786949080.161244807	33	0	258	41	0	20
