epoch	stack_elapsed	franka	teleop	moveit	preset	gello	error_lines	udp_rcvbuf	udp_inerr	left_nic_drop	right_nic_drop
1786949082	1167	running	running	running	running	running	0	508	508	0	0
1786949113	1198	running	running	running	running	running	0	508	508	0	0
1786949143	1228	running	running	running	running	running	0	508	508	0	0
1786949174	1259	running	running	running	running	running	0	508	508	0	0
1786949204	1289	running	running	running	running	running	0	508	508	0	0
1786949235	1320	running	running	running	running	running	0	508	508	0	0
1786949265	1350	running	running	running	running	running	0	508	508	0	0
1786949295	1380	running	running	running	running	running	0	508	508	0	0
1786949326	1411	running	running	running	running	running	0	508	508	0	0
1786949356	1441	running	running	running	running	running	0	508	508	0	0
1786949387	1472	running	running	running	running	running	0	508	508	0	0
1786949417	1502	running	running	running	running	running	0	508	508	0	0
1786949448	1533	running	running	running	running	running	0	508	508	0	0
1786949478	1563	running	running	running	running	running	0	508	508	0	0
1786949508	1593	running	running	running	running	running	0	508	508	0	0
1786949539	1624	running	running	running	running	running	0	508	508	0	0
1786949569	1654	running	running	running	running	running	0	508	508	0	0
1786949600	1685	running	running	running	running	running	0	508	508	0	0
1786949630	1715	running	running	running	running	running	0	508	508	0	0
1786949661	1746	running	running	running	running	running	0	508	508	0	0
1786949691	1776	running	running	running	running	running	0	508	508	0	0
1786949722	1807	running	running	running	running	running	0	508	508	0	0
