epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786945757.412479382	33	0	188	41	0	23
1786945757.542094892	33	0	188	41	0	23
1786945757.662158026	33	0	188	41	0	23
1786945757.781284934	33	0	188	41	0	23
1786945757.908037925	33	0	188	41	0	23
1786945758.027254117	33	0	188	41	0	23
1786945758.146445671	33	0	188	41	0	23
1786945758.269496534	33	0	188	41	0	23
1786945758.393972367	33	0	188	41	0	23
1786945758.518461928	33	0	188	41	0	23
1786945758.637914507	33	0	188	41	0	23
1786945758.757192780	33	0	188	41	0	23
1786945758.876637293	33	0	188	41	0	23
1786945759.009895637	33	0	188	41	0	23
1786945759.132793774	33	0	188	41	0	23
1786945759.256579851	33	0	188	41	0	23
1786945759.376314487	33	0	188	41	0	23
1786945759.497215172	33	0	188	41	0	23
1786945759.618316689	33	0	188	41	0	23
1786945759.742248690	33	0	188	41	0	23
1786945759.862660818	33	0	188	41	0	23
1786945759.983239728	33	0	188	41	0	23
1786945760.103907014	33	0	188	41	0	23
1786945760.224403120	33	0	188	41	0	23
1786945760.345333148	33	0	188	41	0	23
1786945760.466654958	33	0	188	41	0	23
1786945760.598564234	33	0	188	41	0	23
1786945760.719432038	33	0	188	41	0	23
1786945760.843805699	33	0	188	41	0	23
1786945760.964801337	33	0	188	41	0	23
1786945761.086470112	33	0	188	41	0	23
1786945761.207668158	33	0	188	41	0	23
1786945761.328769128	33	0	188	41	0	23
1786945761.450412187	33	0	188	41	0	23
1786945761.571150813	33	0	188	41	0	23
1786945761.703711384	33	0	188	41	0	23
1786945761.834149526	33	0	188	41	0	23
1786945761.955166125	33	0	188	41	0	23
1786945762.079923447	33	0	188	41	0	23
1786945762.204658475	33	0	188	41	0	23
1786945762.327359418	33	0	188	41	0	23
1786945762.449382524	33	0	188	41	0	23
1786945762.575840450	33	0	188	41	0	23
1786945762.697218340	33	0	188	41	0	23
1786945762.819383221	33	0	188	41	0	23
1786945762.940557047	33	0	188	41	0	23
1786945763.063974673	33	0	188	41	0	23
1786945763.184591857	33	0	188	41	0	23
1786945763.309781517	33	0	188	41	0	23
1786945763.439128273	33	0	188	41	0	23
1786945763.567051572	33	0	188	41	0	23
1786945763.692197813	33	0	188	41	0	23
1786945763.812946159	33	0	188	41	0	23
1786945763.933999408	33	0	188	41	0	23
1786945764.059341534	33	0	188	41	0	23
1786945764.179993011	33	0	188	41	0	23
1786945764.301389870	33	0	188	41	0	23
1786945764.422665645	33	0	188	41	0	23
1786945764.555422805	33	0	188	41	0	23
1786945764.676188859	33	0	188	41	0	23
1786945764.796786919	33	0	188	41	0	23
1786945764.917523505	33	0	188	41	0	23
1786945765.038557064	33	0	188	41	0	23
1786945765.159949836	33	0	188	41	0	23
1786945765.289163879	33	0	188	41	0	23
1786945765.414932914	33	0	188	41	0	23
1786945765.539094476	33	0	188	41	0	23
1786945765.659164444	33	0	188	41	0	23
1786945765.779085749	33	0	188	41	0	23
1786945765.902669067	33	0	188	41	0	23
1786945766.022764432	33	0	188	41	0	23
1786945766.150692742	33	0	188	41	0	23
1786945766.278207677	33	0	188	41	0	23
1786945766.398632690	33	0	188	41	0	23
1786945766.519622208	33	0	188	41	0	23
1786945766.639575261	33	0	188	41	0	23
1786945766.767194404	33	0	188	41	0	23
1786945766.890180025	33	0	188	41	0	23
1786945767.010058932	33	0	188	41	0	23
1786945767.129882451	33	0	188	41	0	23
1786945767.249555912	33	0	188	41	0	23
1786945767.370271597	33	0	188	41	0	23
1786945767.490889802	33	0	188	41	0	23
1786945767.610857024	33	0	188	41	0	23
1786945767.730747206	33	0	188	41	0	23
1786945767.849997972	33	0	188	41	0	23
1786945767.969146658	33	0	188	41	0	23
1786945768.092539628	33	0	188	41	0	23
1786945768.211661430	33	0	188	41	0	23
1786945768.330959595	33	0	188	41	0	23
1786945768.450612527	33	0	188	41	0	23
1786945768.570002502	33	0	188	41	0	23
1786945768.689095180	33	0	188	41	0	23
1786945768.811584653	33	0	188	41	0	23
1786945768.931258784	33	0	188	41	0	23
1786945769.054522027	33	0	188	41	0	23
1786945769.176592049	33	0	188	41	0	23
1786945769.296367403	33	0	188	41	0	23
1786945769.416181677	33	0	188	41	0	23
1786945769.539522090	33	0	188	41	0	23
1786945769.658528098	33	0	188	41	0	23
1786945769.777762852	33	0	188	41	0	23
1786945769.900816134	33	0	188	41	0	23
1786945770.019830569	33	0	188	41	0	23
1786945770.142482067	33	0	188	41	0	23
1786945770.262321655	33	0	188	41	0	23
1786945770.382292427	33	0	188	41	0	23
1786945770.502081024	33	0	188	41	0	23
1786945770.621611664	33	0	188	41	0	23
1786945770.740539736	33	0	188	41	0	23
1786945770.858886739	33	0	188	41	0	23
1786945770.977944472	33	0	188	41	0	23
1786945771.097319815	33	0	188	41	0	23
1786945771.216493169	33	0	188	41	0	23
1786945771.336020180	33	0	188	41	0	23
1786945771.456786351	33	0	188	41	0	23
1786945771.583689475	33	0	188	41	0	23
1786945771.703319482	33	0	188	41	0	23
1786945771.822493166	33	0	188	41	0	23
1786945771.946001889	33	0	188	41	0	23
1786945772.064542239	33	0	188	41	0	23
1786945772.187822359	33	0	188	41	0	23
1786945772.316511493	33	0	188	41	0	23
1786945772.455903050	33	0	188	41	0	23
1786945772.579526226	33	0	188	41	0	23
1786945772.706888192	33	0	188	41	0	23
1786945772.829322391	33	0	188	41	0	23
1786945772.948773975	33	0	188	41	0	23
1786945773.070563420	33	0	188	41	0	23
1786945773.192894232	33	0	188	41	0	23
1786945773.312881818	33	0	188	41	0	23
1786945773.435070464	33	0	188	41	0	23
1786945773.554481726	33	0	188	41	0	23
1786945773.674003102	33	0	188	41	0	23
1786945773.792844943	33	0	188	41	0	23
1786945773.911189344	33	0	188	41	0	23
1786945774.030175897	33	0	188	41	0	23
1786945774.149306527	33	2304	188	41	0	23
1786945774.268848646	33	0	188	41	0	23
1786945774.388855796	33	0	188	41	0	23
1786945774.516240326	33	0	188	41	0	23
1786945774.636231283	33	0	188	41	0	23
1786945774.755846169	33	0	188	41	0	23
1786945774.875425153	33	0	188	41	0	23
1786945774.994659935	33	0	188	41	0	23
1786945775.114000693	33	0	188	41	0	23
1786945775.236272068	33	0	188	41	0	23
1786945775.355754005	33	0	188	41	0	23
1786945775.475676340	33	0	188	41	0	23
1786945775.595234011	33	0	188	41	0	23
1786945775.714347956	33	0	188	41	0	23
1786945775.834032615	33	0	188	41	0	23
1786945775.953199117	33	0	188	41	0	23
1786945776.072249895	33	0	188	41	0	23
1786945776.191988929	33	0	188	41	0	23
1786945776.322459959	33	0	188	41	0	23
1786945776.452798712	33	0	188	41	0	23
1786945776.579369019	33	0	188	41	0	23
1786945776.703013868	33	0	188	41	0	23
1786945776.822623247	33	0	188	41	0	23
1786945776.945768279	33	0	188	41	0	23
1786945777.064575997	33	0	188	41	0	23
1786945777.183719575	33	0	188	41	0	23
1786945777.303152101	33	0	188	41	0	23
1786945777.437432537	33	0	188	41	0	23
1786945777.556711310	33	0	188	41	0	23
1786945777.675541088	33	0	188	41	0	23
1786945777.794392588	33	0	188	41	0	23
1786945777.921873286	33	0	188	41	0	23
1786945778.044715310	33	0	188	41	0	23
1786945778.164238212	33	0	188	41	0	23
1786945778.291321664	33	0	188	41	0	23
1786945778.418247229	33	0	188	41	0	23
1786945778.542555858	33	0	188	41	0	23
1786945778.665747933	33	0	188	41	0	23
1786945778.784864751	33	0	188	41	0	23
1786945778.904321115	33	0	188	41	0	23
1786945779.023670178	33	0	188	41	0	23
1786945779.143152787	33	0	188	41	0	23
1786945779.271566062	33	0	188	41	0	23
1786945779.390599185	33	0	188	41	0	23
1786945779.510163154	33	0	188	41	0	23
1786945779.640739644	33	0	188	41	0	23
1786945779.760300278	33	0	188	41	0	23
1786945779.879716404	33	0	188	41	0	23
1786945780.002694661	33	0	188	41	0	23
1786945780.121874560	33	0	188	41	0	23
1786945780.241010840	33	0	188	41	0	23
1786945780.360499397	33	0	188	41	0	23
1786945780.480007108	33	0	188	41	0	23
1786945780.603070950	33	0	188	41	0	23
1786945780.726908263	33	0	188	41	0	23
1786945780.846584986	33	0	188	41	0	23
1786945780.965959056	33	0	188	41	0	23
1786945781.093053137	33	0	188	41	0	23
1786945781.212607053	33	0	188	41	0	23
1786945781.333109123	33	0	188	41	0	23
1786945781.457254552	33	0	188	41	0	23
1786945781.581171509	33	0	188	41	0	23
1786945781.700528285	33	0	188	41	0	23
1786945781.823417747	33	0	188	41	0	23
1786945781.942795677	33	0	188	41	0	23
1786945782.066414214	33	0	188	41	0	23
1786945782.189108613	33	0	188	41	0	23
1786945782.312370060	33	0	188	41	0	23
1786945782.436461186	33	0	188	41	0	23
1786945782.555702425	33	0	188	41	0	23
1786945782.680141123	33	0	188	41	0	23
1786945782.799165859	33	0	188	41	0	23
1786945782.918299441	33	0	188	41	0	23
1786945783.037301290	33	0	188	41	0	23
1786945783.159392359	33	0	188	41	0	23
1786945783.282867688	33	0	188	41	0	23
1786945783.409235670	33	0	188	41	0	23
1786945783.532877493	33	0	188	41	0	23
1786945783.667873010	33	0	188	41	0	23
1786945783.787369702	33	0	188	41	0	23
1786945783.909628714	33	0	188	41	0	23
1786945784.040827342	33	0	188	41	0	23
1786945784.159857044	33	0	188	41	0	23
1786945784.279414950	33	0	188	41	0	23
1786945784.406269807	33	0	188	41	0	23
1786945784.532782363	33	0	188	41	0	23
