epoch	elapsed_s	container	error_lines	left_pid	left_rxq	left_socket_drops	right_pid	right_rxq	right_socket_drops	udp_rcvbuf_errors	udp_in_errors	left_nic_rx_drop	left_nic_tx_drop	right_nic_rx_drop	right_nic_tx_drop
1786945685	26	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945715	56	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945745	86	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945775	116	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945805	146	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945835	176	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945865	206	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945896	237	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945926	267	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945956	297	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786945986	327	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946016	357	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946046	387	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946076	417	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946106	447	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946136	477	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946167	508	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946197	538	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946227	568	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946257	598	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946287	628	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946317	658	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946347	688	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946377	718	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946407	748	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946438	779	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946468	809	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946498	839	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946528	869	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946558	899	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946588	929	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946618	959	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946648	989	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946678	1019	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946709	1050	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946739	1080	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946769	1110	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946799	1140	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946829	1170	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946859	1200	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946889	1230	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946919	1260	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946949	1290	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786946980	1321	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947010	1351	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947040	1381	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947070	1411	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947100	1441	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947130	1471	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947160	1501	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947190	1531	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947220	1561	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947251	1592	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947281	1622	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947311	1652	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947341	1682	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947371	1712	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947401	1742	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947431	1772	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
1786947461	1802	running	0	7332	0	0	7340	0	0	211	211	0	0	0	0
